Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
British Columbia_2018,"43,736","43,599",137,"650,496","563,241","84,999","2,259",,"224,201","173,566","70,911","21,832","12,188","36,920","102,701","4,173","46,601","62,577","52,675","25,551","22,998","14,310","8,633","4,224",347,"9,579","2,810","2,776","2,208",419,"103,531","62,836","42,326","20,537","40,637","13,380","27,292","125,933","70,862","58,109","12,789","54,984","20,201","34,843",-57,"266,882","286,780","5,010,476",61.3,"286,914"
British Columbia_2019,"43,676","43,452",224,"657,372","568,980","86,082","2,307",,"228,407","176,378","70,995","21,518","12,487","37,020","105,407","4,279","47,874","68,783","58,791","24,876","29,450","19,758","9,641","4,900",333,"9,663","2,486","2,463","1,990",470,"105,851","64,310","41,271","23,131","41,473","13,027","28,469","131,208","73,391","59,584","13,790","57,771","21,116","36,724",144,"273,941","297,493","5,094,796",61.6,"295,320"
British Columbia_2020,"42,384","42,251",133,"665,676","576,000","87,222","2,454",,"224,258","170,129","72,589","21,251","12,132","39,185","97,698","4,351","49,720","69,682","59,335","25,691","29,243","21,428","7,804","4,784",323,"10,033",-318,-329,-752,440,"95,976","55,097","37,716","17,465","41,250","15,353","26,013","123,432","67,146","57,624","9,859","56,462","20,746","35,781",-56,"265,831","294,349","5,158,728",62.3,"297,432"
British Columbia_2021,"44,054","43,999",55,"661,122","568,284","87,291","5,550",,"240,664","182,479","78,300","23,544","14,616","40,246","104,360","4,478","53,629","77,017","65,131","29,447","30,764","22,514","8,240","5,143",315,"11,603","1,683","1,670","1,692",-8,"99,016","58,074","40,026","18,112","41,081","13,677","27,554","136,118","74,980","66,525","9,070","61,247","21,865","39,506",10,"282,111","318,273","5,214,805",62.6,"287,523"
Manitoba_1991,"17,728","17,718",10,,,,,,"32,663","20,529","9,246","1,647","1,127","6,850","11,298",467,"11,912","5,458","4,028","1,536","2,306","1,790",840,211,35,"1,443",-475,-471,-405,13,"13,627","5,670","5,117",565,"8,129","3,163","5,101","14,797","5,063","3,965","1,202","10,147","5,214","4,927",279,"37,004","38,105",,,
Manitoba_1992,"17,073","17,059",14,,,,,,"32,676","20,664","9,189","1,653","1,124","6,778","11,510",506,"11,711","5,302","3,864","1,556","2,138","1,585",810,232,31,"1,461",-520,-520,-443,7,"14,728","6,077","5,462",630,"8,845","3,348","5,651","15,047","5,297","4,175","1,220","10,115","5,099","5,006",-172,"37,272","37,953",,,
Manitoba_1993,"17,155","17,141",14,,,,,,"32,918","21,042","9,342","1,655","1,159","6,900","11,738",499,"11,539","5,479","4,108","1,788","2,163","1,325",931,287,35,"1,375",-365,-366,-176,-231,"14,652","6,284","5,641",661,"8,519","3,169","5,507","15,643","5,677","4,481","1,297","10,275","4,924","5,342",37,"37,304","38,378",,,"43,260"
Manitoba_1994,"16,858","16,844",14,,,,,,"33,210","21,572","9,535","1,720","1,179","7,003","12,082",461,"11,282","5,642","4,119","2,072","1,961","1,314",800,346,37,"1,544",380,380,53,452,"16,305","7,052","6,232",859,"9,410","3,785","5,745","17,107","6,547","5,341","1,254","10,735","5,320","5,401",79,"38,774","38,839",,,"42,675"
Manitoba_1995,"16,461","16,442",19,,,,,,"33,833","22,050","9,737","1,754","1,238","7,097","12,360",551,"11,298","5,875","4,387","1,837","2,327","1,578",942,333,37,"1,498",227,226,146,83,"16,847","7,159","6,361",828,"9,878","4,259","5,681","18,248","7,366","6,057","1,344","10,879","5,259","5,614",132,"38,795","39,704",,,"41,058"
Manitoba_1996,"15,832","15,816",16,,,,,,"34,124","22,329","9,974","1,902","1,235","7,162","12,389",590,"11,245","6,530","5,078","2,069","2,728","1,941","1,067",384,41,"1,430",495,495,103,507,"17,755","7,803","6,908",936,"10,096","4,514","5,606","19,258","7,390","6,010","1,440","12,040","6,215","5,788",-26,"39,800","40,683",,,"38,379"
Manitoba_1997,"14,964","14,947",17,,,,,,"35,156","23,123","10,366","2,140","1,273","7,209","12,787",721,"11,311","7,206","5,846","1,892","3,527","2,259","1,486",316,82,"1,247",790,791,778,-138,"19,556","9,411","8,414","1,025","10,146","4,568","5,595","21,586","8,714","7,249","1,483","12,883","6,599","6,248",266,"41,525","42,414",,,"37,797"
Manitoba_1998,"14,871","14,853",18,"192,312","192,309",,,,"35,706","23,365","10,449","2,158","1,306","7,226","12,950",783,"11,579","7,336","5,956","1,872","3,591","2,389","1,474",365,44,"1,319",-184,-184,-235,129,"21,830","10,460","9,346","1,146","11,380","4,954","6,480","21,925","8,946","7,519","1,426","12,947","6,477","6,441",236,"43,381","43,096",,,"37,068"
Manitoba_1999,"14,769","14,758",11,"192,630","192,630",,,,"36,453","23,793","10,656","2,211","1,340","7,341","13,170",846,"11,846","7,666","6,034","1,781","3,635","2,108","1,631",457,84,"1,543",436,435,350,31,"22,072","10,275","9,074","1,251","11,854","5,161","6,750","23,008","9,045","7,603","1,441","14,084","7,294","6,748",59,"43,990","44,182",,,"37,428"
Manitoba_2000,"14,611","14,592",19,"197,067","197,067",,,,"37,344","24,291","10,925","2,299","1,379","7,470","13,395",871,"12,232","7,569","6,040","1,814","3,669","1,675","1,862",399,64,"1,456",319,318,35,413,"23,467","10,660","9,539","1,152","12,910","5,714","7,243","23,479","9,416","7,868","1,554","14,112","7,179","6,902",167,"45,856","44,972",,,"38,241"
Manitoba_2001,"14,468","14,459",9,"189,912","189,912",,,,"38,017","24,704","11,209","2,409","1,453","7,533","13,516",884,"12,484","7,989","6,352","2,027","3,741","1,914","1,797",470,72,"1,557",-441,-441,-249,-214,"24,145","11,115","9,965","1,178","13,108","5,898","7,241","23,992","9,054","7,564","1,497","15,204","8,016","7,118",160,"46,346","46,067","1,151,454",71,"40,641"
Manitoba_2002,"14,335","14,315",20,"188,907","188,907",,,"14,139","39,097","25,442","11,725","2,648","1,526","7,694","13,722",952,"12,752","8,026","6,393","2,245","3,654","1,787","1,797",453,94,"1,524",-25,-23,93,-185,"24,181","11,367","10,168","1,232","12,850","5,906","6,953","24,666","9,624","8,095","1,529","15,187","7,878","7,254",96,"47,142","47,186","1,156,680",70.2,"43,008"
Manitoba_2003,"14,393","14,378",15,"186,891","186,894",,,"14,445","40,047","25,869","11,958","2,707","1,568","7,821","13,913",969,"13,290","8,218","6,529","2,388","3,612","1,862","1,727",526,82,"1,596",958,956,378,764,"24,532","11,509","10,314","1,226","13,062","6,098","6,959","26,301","10,353","8,743","1,608","16,073","8,523","7,471",10,"47,766","48,331","1,163,596",69.5,"44,667"
Manitoba_2004,"14,294","14,288",6,"186,285","186,288",,,"14,280","41,109","26,726","12,385","2,852","1,654","7,996","14,340",837,"13,609","8,847","7,125","2,641","3,955","1,886","1,978",534,50,"1,659",283,283,331,-200,"25,557","11,968","10,851","1,133","13,634","6,404","7,218","27,195","10,897","9,214","1,681","16,379","8,345","7,999",14,"48,948","50,011","1,173,238",68.6,"47,931"
Manitoba_2005,"14,581","14,568",13,"184,353","184,353",,,"14,211","42,054","27,538","12,642","3,005","1,729","7,990","14,905",873,"13,678","9,128","7,165","2,801","3,732","1,652","1,945",680,108,"1,844",24,24,188,-339,"26,544","13,005","11,685","1,350","13,501","6,049","7,479","27,925","11,545","9,757","1,786","16,403","8,111","8,297",119,"50,322","51,233","1,178,264",68,"49,692"
Manitoba_2006,"15,009","14,997",12,"182,373","182,370",,,"14,250","43,057","28,436","13,055","3,147","1,876","8,082","15,390",899,"13,732","10,070","7,774","2,918","4,293","2,201","2,032",585,109,"2,183","1,193","1,195",668,601,"27,707","13,348","12,012","1,365","14,353","6,349","8,043","30,029","12,397","10,380","2,016","17,660","8,626","9,057",-16,"52,166","53,149","1,183,562",67.6,"55,452"
Manitoba_2007,"15,698","15,693",5,"193,761","180,042","12,546","1,176","14,346","44,931","29,868","13,783","3,427","2,002","8,382","16,090",948,"14,109","10,900","8,384","3,105","4,614","2,221","2,295",685,73,"2,445",205,203,338,-260,"30,435","14,919","13,556","1,377","15,460","7,196","8,281","33,312","14,250","12,204","2,044","19,048","9,899","9,105",5,"53,501","55,841","1,189,451",67.3,"50,085"
Manitoba_2008,"15,915","15,912",3,"193,332","179,319","12,780","1,236","14,322","46,847","30,871","14,405","3,723","2,145","8,542","16,465","1,076","14,906","11,870","9,135","3,141","5,280","2,894","2,331",716,88,"2,648",613,608,278,372,"30,328","14,755","13,467","1,297","15,536","7,338","8,212","34,434","15,475","13,254","2,219","18,912","9,213","9,731",-4,"55,454","58,720","1,197,775",67.2,"49,305"
Manitoba_2009,"16,371","16,363",8,"192,201","177,960","12,951","1,290","14,334","47,314","31,243","14,558","3,695","2,157","8,717","16,685","1,010","15,063","11,196","8,593","3,118","4,903","3,004","1,897",585,100,"2,502",-278,-269,-311,94,"30,403","14,437","12,991","1,452","15,962","8,192","7,769","33,574","13,187","11,238","1,948","20,462","10,300","10,159",-20,"55,370","58,512","1,208,556",67.1,"51,300"
Manitoba_2010,"16,255","16,249",6,"192,381","177,498","13,206","1,677","14,433","48,412","32,391","14,975","3,826","2,252","8,902","17,416",973,"15,047","13,010","9,867","3,313","5,803","3,680","2,135",749,106,"3,037",-546,-563,86,-785,"30,793","14,486","12,907","1,578","16,304","8,350","7,953","35,273","14,713","12,572","2,140","20,570","10,037","10,530",-51,"56,727","61,418","1,220,780",66.8,"54,945"
Manitoba_2011,"16,045","16,039",6,"192,711","177,678","13,398","1,635","13,065","50,006","33,166","15,288","3,969","2,335","8,986","17,878","1,080","15,761","12,872","9,843","3,396","5,746","3,497","2,254",701,95,"2,934",-304,-297,368,-734,"31,698","15,360","13,782","1,580","16,343","8,309","8,033","36,597","15,519","13,357","2,162","21,080","10,247","10,831",-35,"58,087","62,880","1,233,649",66.7,"62,001"
Manitoba_2012,"16,800","16,791",9,"194,148","178,917","13,416","1,815","13,479","51,257","33,907","15,525","4,195","2,429","8,901","18,382","1,093","16,257","13,570","10,327","3,559","6,028","3,334","2,694",740,95,"3,148",896,859,17,842,"32,162","15,056","13,403","1,654","17,106","8,929","8,177","37,998","17,063","14,679","2,384","20,935","9,961","10,973",-41,"59,846","64,827","1,249,975",66.9,"60,702"
Manitoba_2013,"16,914","16,909",5,"195,171","179,289","13,491","2,388","13,662","52,084","34,822","16,011","4,498","2,462","9,053","18,811","1,160","16,108","13,668","10,693","3,747","6,196","3,379","2,817",750,104,"2,872","1,392","1,395",438,960,"32,310","14,927","13,189","1,738","17,381","9,602","7,781","38,404","17,631","14,990","2,639","20,773","10,096","10,679",3,"61,583","65,752","1,264,620",67.1,"61,533"
Manitoba_2014,"16,984","16,978",6,"195,432","179,106","13,515","2,808","13,707","52,747","35,783","16,510","4,766","2,554","9,194","19,274","1,123","15,859","14,184","11,441","3,736","7,022","4,129","2,889",687,129,"2,615",507,529,383,146,"33,316","15,652","13,779","1,873","17,662","9,094","8,582","38,465","17,656","15,036","2,618","20,809","9,660","11,156",-13,"62,853","66,930","1,279,014",67.3,"62,211"
Manitoba_2015,"17,134","17,123",11,"196,341","179,733","13,641","2,964","13,908","53,464","36,301","16,662","4,820","2,645","9,203","19,638","1,221","15,965","14,306","11,446","3,504","7,264","4,337","2,924",682,94,"2,766",289,277,-84,360,"32,582","15,364","13,375","1,990","17,215","8,419","8,836","37,583","17,665","14,912","2,754","19,890","9,255","10,640",-11,"63,628","67,768","1,292,227",67.7,"61,974"
Manitoba_2016,"17,400","17,386",14,"198,132","181,023","13,833","3,276","14,097","54,267","36,833","16,862","4,858","2,668","9,342","19,968","1,301","16,160","13,721","10,839","3,563","6,630","4,161","2,475",652,82,"2,802",221,222,373,-142,"32,519","15,579","13,404","2,171","16,937","8,324","8,650","36,750","16,987","14,228","2,764","19,768","9,383","10,395",-10,"64,549","67,976","1,314,139",68,"63,192"
Manitoba_2017,"17,500","17,471",29,"200,226","183,015","13,818","3,390",,"55,991","38,196","17,603","5,141","2,793","9,673","20,597","1,325","16,505","14,308","11,595","3,929","6,990","4,265","2,727",682,80,"2,631",409,427,285,144,"33,810","15,673","13,356","2,308","18,127","9,433","8,707","38,407","18,049","15,295","2,758","20,330","9,469","10,865",-17,"66,670","70,289","1,334,790",68.4,"62,952"
Manitoba_2018,"17,542","17,506",36,"202,545","184,710","14,196","3,639",,"57,137","39,008","18,021","5,229","2,875","9,923","20,993","1,364","16,803","14,192","11,864","4,006","7,023","4,450","2,580",841,79,"2,244",485,466,500,-29,"34,380","16,159","13,607","2,537","18,214","9,241","9,002","38,784","18,422","15,602","2,823","20,315","9,343","10,974",15,"68,003","71,313","1,352,825",69,"62,802"
Manitoba_2019,"17,186","17,144",42,"204,249","186,522","14,022","3,708",,"57,852","39,456","18,054","5,188","2,885","9,986","21,398","1,353","17,078","13,975","11,801","4,078","6,881","4,290","2,595",848,77,"2,091",639,646,712,-67,"34,987","15,898","13,156","2,720","19,076","10,155","8,917","39,213","18,303","15,352","2,951","20,897","9,316","11,583",7,"68,813","71,804","1,369,954",69.6,"63,363"
Manitoba_2020,"16,908","16,883",25,"205,908","187,893","14,325","3,690",,"55,878","36,878","17,934","5,095","2,592","10,236","19,012","1,355","17,597","12,767","10,460","4,159","5,471","3,304","2,165",830,76,"2,232",-697,-828,-675,-155,"32,832","15,017","12,624","2,379","17,802","9,182","8,637","35,779","16,148","14,034","2,134","19,691","8,995","10,703",10,"65,763","68,608","1,380,648",70.1,"65,037"
Manitoba_2021,"14,561","14,552",9,"202,089","179,874","14,184","8,025",,"59,193","38,922","19,090","5,650","3,132","10,328","19,914","1,347","18,856","12,838","10,571","4,719","4,923","2,491","2,429",891,79,"2,187",-909,-750,55,-775,"32,733","14,091","11,922","2,154","18,668","10,118","8,515","37,848","17,147","15,091","2,087","20,757","9,551","11,211",13,"66,917","71,969","1,383,765",70.3,"63,363"
New Brunswick_1991,"9,651","9,644",7,,,,,,"20,468","12,480","6,565","1,158",733,"4,955","5,905",228,"7,950","3,599","2,522",885,"1,493","1,187",537,106,23,"1,089",-33,-33,-26,-12,"13,699","6,609","6,321",342,"7,279","4,581","2,624","16,554","6,648","6,199",439,"9,844","5,060","4,777",59,"21,546","24,008",,,
New Brunswick_1992,"9,568","9,554",14,,,,,,"20,715","12,663","6,600","1,165",740,"4,973","6,058",221,"8,015","3,370","2,333",938,"1,287",614,640,110,22,"1,057",-138,-138,-149,35,"14,826","7,376","7,030",398,"7,644","4,823","2,745","16,975","7,400","6,907",484,"9,560","4,882","4,668",17,"21,842","23,991",,,
New Brunswick_1993,"9,197","9,184",13,,,,,,"21,252","12,885","6,714","1,195",752,"5,043","6,167",222,"8,362","3,242","2,143",943,"1,102",466,573,128,20,"1,151",-7,-8,9,-34,"15,558","7,728","7,272",484,"8,033","5,145","2,811","17,550","8,433","7,887",542,"9,152","4,364","4,757",45,"22,523","24,371",,,"28,029"
New Brunswick_1994,"9,114","9,098",16,,,,,,"21,286","13,032","6,755","1,177",760,"5,110","6,275",218,"8,221","3,158","2,091",965,"1,009",636,436,166,26,"1,108",-22,-22,-14,-15,"16,682","8,021","7,468",561,"8,896","5,824","2,990","17,979","9,083","8,504",577,"8,959","4,501","4,438",80,"22,983","24,311",,,"28,350"
New Brunswick_1995,"8,759","8,748",11,,,,,,"21,489","13,355","6,899","1,206",800,"5,169","6,454",214,"8,058","3,467","2,284",797,"1,287",887,525,173,22,"1,240",-3,-3,-8,12,"17,647","8,680","8,110",585,"9,200","6,065","3,048","18,646","9,336","8,769",574,"9,370","4,804","4,548",57,"23,762","24,857",,,"28,386"
New Brunswick_1996,"8,353","8,338",15,,,,,,"21,701","13,661","7,043","1,245",818,"5,251","6,617",227,"7,911","3,746","2,573",906,"1,442",948,608,199,26,"1,200",-5,-5,-13,19,"18,292","9,311","8,606",704,"9,195","5,909","3,212","19,465","9,796","9,144",641,"9,733","5,006","4,708",-35,"24,010","25,378",,,"28,650"
New Brunswick_1997,"8,101","8,090",11,,,,,,"22,050","13,961","7,310","1,404",834,"5,284","6,647",283,"7,881","3,485","2,457",961,"1,315",692,634,184,23,"1,038",229,229,213,17,"18,666","9,820","8,940",853,"9,035","5,803","3,161","20,157","10,424","9,767",658,"9,811","5,123","4,670",118,"24,232","25,428",,,"28,608"
New Brunswick_1998,"8,056","8,043",13,"131,586","131,586",,,,"22,865","14,381","7,577","1,509",876,"5,369","6,799",304,"8,281","4,068","3,003",940,"1,787","1,006",830,203,15,"1,058",-2,-1,1,-4,"19,751","10,509","9,560",920,"9,435","5,947","3,417","21,364","11,102","10,441",676,"10,349","5,390","4,939",-59,"25,060","26,873",,,"27,957"
New Brunswick_1999,"7,735","7,724",11,"129,132","129,129",,,,"23,653","14,909","7,924","1,639",911,"5,523","6,979",354,"8,485","5,008","3,722",986,"2,376","1,752",900,205,22,"1,267",335,335,336,-20,"20,942","11,264","10,211","1,011","9,878","6,128","3,680","23,467","12,268","11,595",713,"11,300","5,923","5,359",44,"26,629","28,686",,,"28,131"
New Brunswick_2000,"7,544","7,535",9,"127,002","127,002",,,,"24,088","15,352","8,104","1,703",941,"5,591","7,243",359,"8,434","5,059","3,848","1,194","2,336","1,522",989,210,23,"1,173",393,393,371,21,"21,610","12,169","11,161",989,"9,604","5,712","3,844","24,044","12,652","11,979",721,"11,499","6,016","5,464",-23,"27,184","29,169",,,"27,903"
New Brunswick_2001,"7,347","7,337",10,"124,941","124,944",,,,"24,323","15,470","8,089","1,686",959,"5,569","7,378",366,"8,551","4,336","3,237","1,331","1,687",810,870,232,26,"1,070",99,99,101,-8,"24,330","14,055","12,965","1,082","10,415","6,362","3,982","24,956","13,483","12,794",750,"11,574","6,265","5,293",-100,"27,683","28,624","749,820",60.5,"29,916"
New Brunswick_2002,"7,193","7,185",8,"122,793","122,790",,,"7,419","24,982","15,963","8,385","1,777","1,005","5,713","7,573",372,"8,698","4,441","3,372","1,519","1,663",789,864,242,31,"1,024",8,10,-5,25,"25,541","15,155","13,898","1,231","10,492","6,307","4,120","25,357","13,431","12,801",711,"12,033","6,645","5,373",-126,"28,999","29,387","749,372",59.9,"32,928"
New Brunswick_2003,"7,255","7,244",11,"120,600","120,600",,,"7,473","25,329","16,217","8,441","1,803","1,018","5,723","7,773",353,"8,806","4,893","3,778","1,600","2,003","1,190",900,204,27,"1,061",89,88,89,-9,"26,322","15,663","14,388","1,255","10,765","6,627","4,060","26,417","13,666","12,951",771,"12,860","7,197","5,648",-50,"29,722","30,205","749,441",59.3,"32,235"
New Brunswick_2004,"7,089","7,083",6,"118,869","118,869",,,"7,509","25,878","16,681","8,669","1,863","1,057","5,844","8,011",326,"8,901","5,293","4,070","1,692","2,118",880,"1,195",289,16,"1,183",66,66,73,-19,"26,913","16,270","15,078","1,201","10,740","6,434","4,250","27,236","14,222","13,438",830,"13,127","6,809","6,321",-22,"30,475","31,165","749,419",58.8,"33,348"
New Brunswick_2005,"6,967","6,965",2,"117,147","117,147",,,"7,509","26,461","17,034","8,738","1,917","1,105","5,787","8,297",352,"9,108","5,654","4,286","1,696","2,272",905,"1,310",337,42,"1,308",53,52,41,20,"27,025","16,471","15,183","1,282","10,648","6,046","4,620","28,117","14,940","14,040",928,"13,289","6,778","6,521",-26,"30,716","32,117","748,057",58.5,"34,599"
New Brunswick_2006,"7,087","7,084",3,"114,819","114,819",,,"7,629","27,199","17,604","9,039","2,040","1,194","5,847","8,565",371,"9,244","6,682","5,175","1,713","3,083","1,645","1,461",369,43,"1,428",173,175,148,40,"26,103","15,544","14,316","1,221","10,643","5,680","5,100","28,756","14,505","13,471","1,028","14,408","7,278","7,149",43,"31,348","33,904","745,621",58.6,"33,615"
New Brunswick_2007,"7,232","7,226",6,"112,524","112,011",0,513,"7,899","28,189","18,350","9,437","2,167","1,260","6,041","8,913",356,"9,493","7,347","5,336","1,867","3,025","1,696","1,367",442,29,"1,977",-56,-57,-36,-30,"26,644","15,652","14,336","1,301","11,064","6,773","4,256","30,388","14,729","13,672","1,051","15,842","8,341","7,511",-27,"31,644","35,567","745,433",58.8,"30,939"
New Brunswick_2008,"7,463","7,462",1,"111,630","110,289",816,528,"8,079","29,157","18,980","9,780","2,366","1,311","6,115","9,200",360,"9,827","7,294","5,845","1,855","3,588","2,249","1,418",388,33,"1,378",16,23,44,-28,"25,532","15,250","13,938","1,295","10,370","6,110","4,243","30,070","14,818","13,827",992,"15,421","7,992","7,435",-21,"31,887","36,476","746,877",58.9,"30,792"
New Brunswick_2009,"7,492","7,491",1,"109,722","108,408",819,492,"7,998","29,421","19,269","9,943","2,391","1,328","6,239","9,326",352,"9,807","6,495","5,042","1,797","2,915","1,601","1,347",327,35,"1,393",-18,-19,-22,4,"25,088","14,708","13,713",992,"10,436","5,830","4,601","29,471","16,342","15,274","1,071","13,184","6,340","6,818",-32,"31,425","35,912","749,956",59.1,"30,282"
New Brunswick_2010,"7,467","7,467",0,"107,718","106,392",795,531,"7,803","30,264","19,739","10,174","2,535","1,392","6,247","9,565",356,"10,179","6,695","4,871","1,844","2,683","1,235","1,453",344,46,"1,772",232,235,223,13,"26,543","15,401","14,427",978,"11,183","6,569","4,614","31,622","17,480","16,312","1,166","14,203","7,004","7,193",-32,"32,050","36,956","753,035",59.1,"31,434"
New Brunswick_2011,"7,208","7,206",2,"105,723","104,421",753,549,"7,683","30,345","20,117","10,371","2,599","1,393","6,382","9,745",357,"9,872","7,105","4,832","1,818","2,656","1,023","1,633",357,47,"2,228",214,212,255,-47,"26,254","14,146","13,136","1,011","12,125","7,366","4,751","31,739","17,219","16,089","1,131","14,599","7,311","7,289",-17,"32,136","37,451","755,705",59.4,"32,934"
New Brunswick_2012,"7,116","7,115",1,"104,007","102,579",768,660,"7,449","30,430","20,315","10,370","2,657","1,452","6,261","9,945",356,"9,759","6,157","4,426","1,824","2,291","1,026","1,265",311,57,"1,674",171,128,88,40,"26,110","14,970","13,927","1,043","11,141","6,570","4,571","31,053","18,534","17,366","1,167","12,519","5,750","6,769",-20,"31,796","36,587","758,378",60.2,"33,069"
New Brunswick_2013,"7,011","7,008",3,"102,459","101,079",750,627,"6,900","30,689","20,717","10,591","2,784","1,487","6,320","10,126",364,"9,610","5,700","4,270","1,687","2,295",943,"1,353",288,22,"1,408",83,90,86,4,"26,036","15,265","14,162","1,103","10,776","6,286","4,492","30,836","19,549","18,434","1,117","11,301","5,178","6,123",-11,"31,710","36,390","758,544",61.3,"32,610"
New Brunswick_2014,"7,010","7,007",3,"101,364","99,921",765,678,"6,843","30,933","21,114","10,887","2,887","1,538","6,462","10,229",362,"9,464","5,590","4,086","1,636","2,128",816,"1,314",321,32,"1,472",163,190,177,13,"25,756","15,135","13,873","1,264","10,627","5,573","5,098","30,730","19,207","17,986","1,218","11,530","4,807","6,734",6,"31,747","36,525","758,976",62.5,"32,589"
New Brunswick_2015,"6,639","6,637",2,"100,362","98,907",762,693,"7,023","31,400","21,439","11,139","2,998","1,590","6,550","10,305",369,"9,598","5,521","4,141","1,652","2,210",823,"1,389",278,26,"1,354",51,32,11,21,"25,072","14,785","13,606","1,183","10,299","5,680","4,640","30,121","18,449","17,198","1,242","11,660","4,987","6,680",-7,"31,954","36,920","758,842",63.8,"28,455"
New Brunswick_2016,"6,681","6,673",8,"99,726","97,911","1,110",705,"7,515","31,951","21,643","11,257","3,083","1,575","6,597","10,392",415,"9,895","5,452","3,893","1,656","1,933",850,"1,090",312,21,"1,537",273,270,266,5,"24,516","13,808","12,610","1,185","10,630","5,886","4,765","30,091","18,481","17,215","1,255","11,603","4,786","6,817",30,"32,213","37,398","763,350",65.2,"27,540"
New Brunswick_2017,"6,543","6,539",4,"99,738","97,842","1,134",762,,"32,790","22,303","11,584","3,224","1,622","6,733","10,724",421,"10,071","6,104","4,438","1,715","2,358","1,084","1,284",363,16,"1,648",176,193,186,8,"25,668","14,587","13,339","1,238","11,015","6,242","4,792","31,845","19,799","18,512","1,287","12,060","4,936","7,121",-3,"33,014","38,900","766,621",66.6,"27,369"
New Brunswick_2018,"6,391","6,389",2,"99,774","97,755","1,218",801,,"33,377","22,550","11,625","3,177","1,648","6,798","10,927",435,"10,393","6,555","4,808","1,775","2,622","1,156","1,476",404,19,"1,726",216,208,214,-4,"24,314","13,342","12,113","1,210","10,867","6,173","4,712","31,167","19,554","18,180","1,357","11,637","4,479","7,151",-19,"33,401","39,944","770,301",68,"27,057"
New Brunswick_2019,"6,317","6,314",3,"99,984","97,893","1,257",834,,"33,976","22,900","11,841","3,264","1,703","6,872","11,062",446,"10,630","5,955","4,645","1,848","2,384","1,094","1,300",412,25,"1,284",292,293,260,31,"24,831","13,878","12,509","1,340","10,867","6,385","4,483","31,313","19,716","18,321","1,376","11,624","4,438","7,179",17,"33,846","39,924","777,128",69.4,"26,790"
New Brunswick_2020,"6,222","6,218",4,"101,175","98,967","1,272",942,,"33,594","22,254","11,915","3,126","1,712","7,082","10,359",449,"10,875","5,987","4,530","1,991","2,123","1,130","1,006",422,23,"1,434",-538,-536,-586,39,"23,845","13,184","12,080","1,109","10,557","5,870","4,701","30,095","18,323","17,318","1,059","11,730","4,818","6,912",-3,"32,937","39,578","783,204",70.8,"27,909"
New Brunswick_2021,"6,355","6,353",2,"101,427","97,263","1,530","2,631",,"35,017","23,129","12,373","3,425","1,919","7,036","10,775",455,"11,413","6,410","4,940","2,372","2,129","1,057","1,088",439,28,"1,437",-768,-809,-744,-62,"24,862","14,242","13,057","1,193","10,574","6,082","4,485","30,769","18,669","17,596","1,117","12,050","4,848","7,203",-13,"34,882","41,432","789,225",71.7,"27,099"
